,user_id,minutesPassed,Purity,randIndex,NMI,numDocsLabeled,sLDAUpFreq,group
0,69.0,5.0,0.2169197396963123,0.0370774105604956,0.0644940125624018,4.0,0.0,LDA
1,69.0,6.0,0.2629067245119306,0.0428723961682083,0.0744443996060672,5.0,0.0,LDA
2,69.0,7.0,0.2941431670281996,0.0510605784119423,0.1014330294005473,7.0,0.0,LDA
3,69.0,8.0,0.3440347071583514,0.0914707334772094,0.1276332267337825,8.0,0.0,LDA
4,69.0,9.0,0.3579175704989154,0.0914707334772094,0.1428531212063938,9.0,0.0,LDA
5,69.0,10.0,0.3592190889370932,0.092672507180951,0.1430181087771534,11.0,0.0,LDA
6,69.0,11.0,0.3973969631236442,0.0919903677453636,0.1745410345052929,14.0,0.0,LDA
7,69.0,12.0,0.4134490238611714,0.1229831379330921,0.1839080137108441,15.0,0.0,LDA
8,69.0,13.0,0.4650759219088937,0.1279842878088273,0.2209296719119092,17.0,0.0,LDA
9,69.0,14.0,0.5032537960954447,0.1496332702530243,0.2483418635453981,20.0,0.0,LDA
10,69.0,15.0,0.5136659436008677,0.1533142416934328,0.2636866215606698,22.0,0.0,LDA
11,69.0,16.0,0.5101952277657267,0.1496332702530243,0.2555426281194706,22.0,0.0,LDA
12,69.0,17.0,0.5158351409978308,0.1564544755788396,0.2638184832806264,22.0,0.0,LDA
13,69.0,18.0,0.5110629067245119,0.1601900732849673,0.2575563155510866,22.0,0.0,LDA
14,69.0,19.0,0.5123644251626898,0.1688096958808196,0.2543569386499605,23.0,0.0,LDA
15,69.0,20.0,0.514533622559653,0.1765520476897488,0.2808061095759621,26.0,0.0,LDA
16,69.0,21.0,0.5392624728850325,0.1816266182978103,0.3069925196235604,29.0,0.0,LDA
17,69.0,22.0,0.561822125813449,0.1824852528680361,0.3103443526630793,32.0,0.0,LDA
18,69.0,23.0,0.6117136659436009,0.2003118181171578,0.3425086695333552,33.0,0.0,LDA
19,69.0,24.0,0.6117136659436009,0.1940733895495432,0.3547413850707173,35.0,0.0,LDA
20,69.0,25.0,0.6303687635574837,0.1860035608437313,0.3484112028573153,37.0,0.0,LDA
21,69.0,26.0,0.6464208242950108,0.1853813425394443,0.3686182409425493,38.0,0.0,LDA
22,69.0,27.0,0.6390455531453362,0.1836442431007393,0.3555980153549192,40.0,0.0,LDA
23,69.0,28.0,0.6377440347071583,0.1896496431960546,0.3592019138448519,42.0,0.0,LDA
24,69.0,29.0,0.6247288503253796,0.1864498419157924,0.3592019138448519,42.0,0.0,LDA
25,69.0,30.0,0.6403470715835141,0.1887666190060337,0.3681168411068243,45.0,0.0,LDA
26,69.0,31.0,0.6429501084598699,0.1925011107179993,0.3702335185596112,46.0,0.0,LDA
27,69.0,32.0,0.6412147505422994,0.1917419853629339,0.3697833120698951,48.0,0.0,LDA
28,69.0,33.0,0.6503253796095445,0.1942707959888027,0.3697833120698951,49.0,0.0,LDA
29,69.0,34.0,0.6468546637744035,0.1928789598505321,0.3704082454201341,50.0,0.0,LDA
30,69.0,35.0,0.6468546637744035,0.1925655174045592,0.3749609855927333,51.0,0.0,LDA
31,69.0,36.0,0.6468546637744035,0.1925655174045592,0.3700822564595196,55.0,0.0,LDA
32,69.0,37.0,0.652060737527115,0.2086087748623105,0.3730962217382077,56.0,0.0,LDA
33,69.0,38.0,0.6542299349240781,0.2099088913693764,0.3731718233395045,62.0,0.0,LDA
34,69.0,39.0,0.6542299349240781,0.2160991359836577,0.3785372298575687,65.0,0.0,LDA
35,69.0,40.0,0.6668112798264642,0.2106954798835255,0.3783309219117572,68.0,0.0,LDA
36,69.0,41.0,0.6455531453362255,0.2134433160135308,0.3773812196604204,71.0,0.0,LDA
37,69.0,42.0,0.66117136659436,0.2172447305307671,0.383437370335472,72.0,0.0,LDA
38,69.0,43.0,0.66117136659436,0.2178078676995664,0.3846225776812887,74.0,0.0,LDA
39,69.0,44.0,0.6529284164859002,0.2168662436952839,0.38050558738031,78.0,0.0,LDA
40,69.0,45.0,0.6577006507592191,0.2008059010740487,0.3698933718515779,81.0,0.0,LDA
41,69.0,46.0,0.6503253796095445,0.2008798731211807,0.3716477783391592,84.0,0.0,LDA
42,69.0,47.0,0.6559652928416486,0.2027387888113103,0.3813626185656132,87.0,0.0,LDA
43,69.0,48.0,0.6546637744034707,0.2027387888113103,0.3732572415347842,90.0,0.0,LDA
44,69.0,49.0,0.6546637744034707,0.1995216741143669,0.3767124892621914,91.0,0.0,LDA
45,69.0,50.0,0.66117136659436,0.2022144380064207,0.3754448296314309,95.0,0.0,LDA
46,69.0,51.0,0.6633405639913232,0.2022144380064207,0.3769251706969529,96.0,0.0,LDA
47,69.0,52.0,0.6633405639913232,0.2022144380064207,0.3753110302224813,97.0,0.0,LDA
48,69.0,53.0,0.6633405639913232,0.2030878533062235,0.3769251706969529,97.0,0.0,LDA
49,69.0,54.0,0.662472885032538,0.2002314554537961,0.375131723458838,97.0,0.0,LDA
50,69.0,55.0,0.6689804772234273,0.2013512633934468,0.3776725791653571,99.0,0.0,LDA
51,69.0,56.0,0.6603036876355748,0.2003326716916847,0.37417168760534,103.0,0.0,LDA
52,69.0,57.0,0.6603036876355748,0.199250951004505,0.37417168760534,110.0,0.0,LDA
53,69.0,58.0,0.6563991323210412,0.2138833676587176,0.3687820725842754,118.0,0.0,LDA
54,69.0,59.0,0.6646420824295011,0.2133479157104731,0.375617714791112,123.0,0.0,LDA
55,69.0,60.0,0.6698481561822126,0.2168116296019026,0.3742736285934853,125.0,0.0,LDA
